id,term,translation,alt_translation,comments
2932,Карасьов,Карасев,"",Прізвище
2933,Карасьова,Карасева,"",Прізвище
2934,Каратигін,Каратыгин,"",Прізвище
2935,Карпинська,Карпинская,"",Прізвище
2936,Карпіні,Карпини,"",Прізвище
2937,Каутська,Каутская,"",Прізвище
2938,Качинська,Качинская,"",Прізвище
2939,Кашпіровський,Кашпировский,"",Прізвище
2940,Квасневський,Квасьневский,"",Прізвище
2941,Квасницька,Квасницкая,"",Прізвище
2942,Квасьнєвський,Квасьневский,"",Прізвище
2943,Квіслінг,Квислинг,"",Прізвище
4150,Діас,Диас,"",Прізвище
3032,Кільчицький,Кильчицкий,"",Прізвище
2944,Квітка-Основ'яненко,Квитка-Основьяненко,"",Прізвище
2945,Кендзьор,Кендзер,"",Прізвище
2946,Кипріян,Киприан,"",Прізвище
2947,Кирєєв,Киреев,"",Прізвище
2948,Кирєєва,Киреева,"",Прізвище
2949,Кисельов,Киселев,"",Прізвище
2950,Кисельова,Киселева,"",Прізвище
2951,Ключарьова,Ключарева,"",Прізвище
2952,Ключевська,Ключевская,"",Прізвище
2953,Ключковська,Ключковская,"",Прізвище
2954,Клімкін,Климкин,"",Прізвище
2955,Клімкіна,Климкина,"",Прізвище
2956,Кобилянський,Кобылянский,"",Прізвище
2957,Кобринська,Кобринская,"",Прізвище
2958,Ковалевська,Ковалевская,"",Прізвище
2959,Ковальов,Ковалев,"",Прізвище
2960,Ковальова,Ковалева,"",Прізвище
2961,Когелнічану,Когэлничану,"",Прізвище
2962,Кожем'якін,Кожемякин,"",Прізвище
2963,Козирєв,Козырев,"",Прізвище
2964,Козирєва,Козырева,"",Прізвище
2965,Козицька,Козицкая,"",Прізвище
2966,Козубовська,Козубовская,"",Прізвище
2967,Коккінакі,Коккинаки,"",Прізвище
2968,Кокова,Кокковая,Коккова,Прізвище
2969,Коломийський,Коломийский,"",Прізвище
2970,Коломиєць,Коломиец,"",Прізвище
2971,Коліньї,Колиньи,"",Прізвище
2972,Комарницька,Комарницкая,"",Прізвище
2973,Комаровська,Комаровская,"",Прізвище
2974,Коморовська,Коморовская,"",Прізвище
2975,Комісаров,Комиссаров,"",Прізвище
2976,Комісарова,Комиссарова,"",Прізвище
2977,Корецька,Корецкая,"",Прізвище
2978,Корженевська,Корженевская,"",Прізвище
2979,Корнєєв,Корнеев,"",Прізвище
2980,Корнєєва,Корнеева,"",Прізвище
2981,Корнієнко,Корниенко,"",Прізвище
2982,Королевська,Королевская,"",Прізвище
2983,Корольов,Королев,"",Прізвище
2984,Корольова,Королева,"",Прізвище
2985,Коростельов,Коростелев,"",Прізвище
2986,Коростельова,Коростелева,"",Прізвище
2987,Коротєєв,Коротеев,"",Прізвище
2988,Коріоліс,Кориолис,"",Прізвище
2989,Косаківський,Косаковский,"",Прізвище
2990,Косигін,Косыгин,"",Прізвище
2991,Косирін,Косырин,"",Прізвище
2992,Костецька,Костецкая,"",Прізвище
2993,Костик,Костик,"",Прізвище
2994,Коцюбинська,Коцюбинская,"",Прізвище
2995,Краковська,Краковская,"",Прізвище
2996,Красицька,Красицкая,"",Прізвище
2997,Красовська,Красовская,"",Прізвище
2998,Кржижановська,Кржижановская,"",Прізвище
2999,Кржижановський,Кржижановский,"",Прізвище
3000,Кригін,Крыгин,"",Прізвище
3001,Крижановський,Крыжановский,"",Прізвище
3002,Крижицький,Крыжицкий,"",Прізвище
3003,Криницька,Криницкая,"",Прізвище
3004,Крупська,Крупская,"",Прізвище
3005,Крушельницька,Крушельницкая,"",Прізвище
3006,Крюківський,Крюковский,"",Прізвище
3007,Кудрицька,Кудрицкая,"",Прізвище
3008,Кузьмович,Кузьмович,"",Прізвище
3009,Кузьмінський,Кузьминский,"",Прізвище
3010,Куйбишевський,Куйбышевский,"",Прізвище
3011,Куковальська,Куковальская,"",Прізвище
3012,Кулаковська,Кулаковская,"",Прізвище
3013,Куликовська,Куликовская,"",Прізвище
3014,Кульчинська,Кульчинская,"",Прізвище
3015,Кульчицька,Кульчицкая,"",Прізвище
3016,Кулібін,Кулибин,"",Прізвище
3017,Кундієв,Кундиев,"",Прізвище
3018,Кундієва,Кундиева,"",Прізвище
3019,Куніцин,Куницын,"",Прізвище
3020,Куп'янська,Купянская,"",Прізвище
3021,Куп'янський,Купянский,"",Прізвище
3022,Купчинська,Купчинская,"",Прізвище
3023,Куравльов,Куравлев,"",Прізвище
3024,Куравльова,Куравлева,"",Прізвище
3025,Кучинська,Кучинская,"",Прізвище
3026,Кушнарьов,Кушнарев,"",Прізвище
3027,Кушнарьова,Кушнарева,"",Прізвище
3028,Кюв'є,Кювье,"",Прізвище
3029,Кібакі,Кибаки,"",Прізвище
3030,Кікоїн,Кикоин,"",Прізвище
3031,Кільчевський,Кильчевский,"",Прізвище
3033,Кіплінг,Киплинг,"",Прізвище
3034,Кіпренський,Кипренский,"",Прізвище
3035,Кіпріанов,Киприанов,"",Прізвище
3036,Кіпріанова,Киприанова,"",Прізвище
3037,Кіреєв,Киреев,"",Прізвище
3038,Кіреєва,Киреева,"",Прізвище
3039,Кіссінджер,Киссинджер,"",Прізвище
3040,Лакомська,Лакомская,"",Прізвище
3041,Латинін,Латынин,"",Прізвище
3042,Лафаєт,Лафайет,"",Прізвище
3043,Лебединська,Лебединская,"",Прізвище
3044,Лебедівський,Лебедивский,"",Прізвище
3045,Левандовська,Левандовская,"",Прізвище
3046,Леванєвський,Леваневский,"",Прізвище
3047,Левицька,Левицкая,"",Прізвище
3048,Левський,Левский,"",Прізвище
3049,Либідь,Лыбидь,"",Прізвище
3050,Липківський,Липковский,"",Прізвище
3051,Липська,Липская,"",Прізвище
3052,Лисицька,Лисицкая,"",Прізвище
3053,Лодигін,Лодыгин,"",Прізвище
3054,Лозинська,Лозинская,"",Прізвище
3055,Лордкіпанідзе,Лордкипанидзе,"",Прізвище
3056,Лотоцька,Лотоцкая,"",Прізвище
3057,Лубківський,Лубкивский,Лубковский,Прізвище
3058,Луковська,Луковская,"",Прізвище
3059,Лучинська,Лучинская,"",Прізвище
3060,Любомирська,Любомирская,"",Прізвище
3061,Люм'єр,Люмьер,"",Прізвище
3062,Лібіх,Либих,"",Прізвище
3063,Лівшиць,Лившиц,"",Прізвище
3064,Лівінгстон,Ливингстон,"",Прізвище
3065,Лівінгстоун,Ливингстоун,"",Прізвище
3066,Лінецький,Линецкий,"",Прізвище
3067,Лістьєв,Листьев,"",Прізвище
3068,Лістьєва,Листьева,"",Прізвище
3069,Ліхачов,Лихачев,"",Прізвище
3070,Ліхачова,Лихачева,"",Прізвище
3071,Ліховий,Лиховой,"",Прізвище
3072,Майданська,Майданская,"",Прізвище
3073,Мак-Кінлі,Мак-Кинли,"",Прізвище
3074,Маковецька,Маковецкая,"",Прізвище
3075,Маковська,Маковская,"",Прізвище
3076,Максиміліан,Максимилиан,"",Прізвище
3077,Малиновська,Малиновская,"",Прізвище
3078,Малицька,Малицкая,"",Прізвище
3079,Малофєєв,Малофеев,"",Прізвище
3080,Малофєєва,Малофеева,"",Прізвище
3081,Мальдіні,Мальдини,"",Прізвище
3082,Малєєв,Малеев,"",Прізвище
3083,Малєєва,Малеева,"",Прізвище
3084,Малінін,Малинин,"",Прізвище
3085,Мануїльський,Мануильский,"",Прізвище
3086,Мартинець,Мартынец,"",Прізвище
3087,Марінетті,Маринетти,"",Прізвище
3088,Марініна,Маринина,"",Прізвище
3089,Масалієв,Масалиев,"",Прізвище
3090,Масловська,Масловская,"",Прізвище
3091,Матвєєв,Матвеев,"",Прізвище
3092,Матвєєва,Матвеева,"",Прізвище
3093,Матвієнко,Матвиенко,"",Прізвище
3094,Матикін,Матыкин,"",Прізвище
3095,Мацієвич,Мациевич,"",Прізвище
3096,Маяковська,Маяковская,"",Прізвище
3097,Маяцька,Маяцкая,"",Прізвище
3098,Маєвський,Маевский,"",Прізвище
3099,Медвєдєв,Медведев,"",Прізвище
3100,Медвєдєва,Медведева,"",Прізвище
3101,Медісон,Мэдисон,"",Прізвище
3102,Меннінг,Мэннинг,"",Прізвище
3103,Менсфілд,Мэнсфилд,"",Прізвище
3104,Меєр,Мейер,"",Прізвище
3105,Милославська,Милославская,"",Прізвище
3106,Митницька,Митницкая,"",Прізвище
3107,Многогрішний,Многогрешный,"",Прізвище
3108,Могилевська,Могилевская,"",Прізвище
3109,Могильов,Могилев,"",Прізвище
3110,Могильова,Могилева,"",Прізвище
3111,Можайська,Можайск,"",Прізвище
3112,Можаровська,Можаровская,"",Прізвище
3113,Мойсеєнко,Моисеенко,Мойсеенко,Прізвище
3114,Мокрієв,Мокриев,"",Прізвище
3115,Мокрієва,Мокриева,"",Прізвище
3116,Мосціцький,Мосцицкий,"",Прізвище
3117,Мосієнко,Мосиенко,"",Прізвище
3118,Мочульська,Мочульская,"",Прізвище
3119,Муравйов,Муравьев,"",Прізвище
3120,Муравйова,Муравьева,"",Прізвище
3121,Мусієнко,Мусиенко,"",Прізвище
3122,Мізін,Мизин,"",Прізвище
3123,Міккі-Маус,Микки-Маус,"",Прізвище
3124,Мілевський,Милевский,"",Прізвище
3125,Мілінкевич,Милинкевич,"",Прізвище
3126,Мінін,Минин,"",Прізвище
3127,Мірошніченко,Мирошниченко,"",Прізвище
3128,Міхновський,Михновский,"",Прізвище
3129,Міхнік,Михник,"",Прізвище
3130,Мічурін,Мичурин,"",Прізвище
3131,Мічуріна,Мичурина,"",Прізвище
3132,Набієв,Набиев,"",Прізвище
3133,Набієва,Набиева,"",Прізвище
3134,Нейолов,Неелов,"",Прізвище
3135,Нейолова,Неелова,"",Прізвище
3136,Ненні,Нэнни,"",Прізвище
3137,Нефьодов,Нефедов,"",Прізвище
3138,Нефьодова,Нефедова,"",Прізвище
3139,Новаківський,Новаковский,"",Прізвище
3140,Ногаїделі,Ногаидели,"",Прізвище
3141,Нурієв,Нуриев,"",Прізвище
3142,Нурієва,Нуриева,"",Прізвище
3143,Ніковський,Никовский,"",Прізвище
3144,Ніколаєв,Николаев,"",Прізвище
3145,Ніколаєва,Николаева,"",Прізвище
3146,Ніколаєнко,Николаенко,"",Прізвище
3147,Нікольський,Никольский,"",Прізвище
3148,Ніколіч,Николич,"",Прізвище
3149,Нікулін,Никулин,"",Прізвище
3150,Нікуліна,Никулина,"",Прізвище
3151,Нікітенко,Никитенко,"",Прізвище
3152,Нікіфоров,Никифоров,"",Прізвище
3153,Нікіфорова,Никифорова,"",Прізвище
3154,Німіц,Нимиц,"",Прізвище
3155,Ніщинський,Нищинский,"",Прізвище
3156,Овдієнко,Овдиенко,Овдеенко,Прізвище
3157,Овсієнко,Овсиенко,Овсеенко,Прізвище
3158,Огарьов,Огарев,"",Прізвище
3159,Огарьова,Огарева,"",Прізвище
3160,Огінський,Огинский,"",Прізвище
3161,Огієнко,Огиенко,"",Прізвище
3162,Одоєвський,Одоевский,"",Прізвище
3163,Окуневська,Окуневская,"",Прізвище
3164,Окіпна,Окипная,"",Прізвище
3165,Ольбрихський,Ольбрыхский,"",Прізвище
3166,Ольшанська,Ольшанская,"",Прізвище
3167,Омельницька,Омельницкая,"",Прізвище
3168,Онопрієнко,Оноприенко,"",Прізвище
3169,Онєгін,Онегин,"",Прізвище
3170,Опільський,Опольский,Опильский,Прізвище
3171,Орвелл,Оруэлл,"",Прізвище
3172,Орсіні,Орсини,"",Прізвище
3173,Осецька,Осецкая,"",Прізвище
3174,Осинська,Осинская,"",Прізвище
3175,Оссолінський,Оссолинский,"",Прізвище
3176,Островська,Островская,"",Прізвище
3177,П'ятницький,Пятницкий,"",Прізвище
3178,П'яццолла,Пьяццолла,"",Прізвище
3179,Павловська,Павловская,"",Прізвище
3180,Палієнко,Палиенко,"",Прізвище
3181,Паніковський,Паниковский,"",Прізвище
3182,Папієв,Папиев,"",Прізвище
3183,Папієва,Папиева,"",Прізвище
3184,Парфьонов,Парфенов,"",Прізвище
3185,Парфьонова,Парфенова,"",Прізвище
3186,Пелетмінський,Пелетминский,"",Прізвище
3187,Перовська,Перовская,"",Прізвище
3188,Петрівський,Петровский,"",Прізвище
3189,Петьовка,Петевка,"",Прізвище
3190,Пироговська,Пироговская,"",Прізвище
3191,Писаревська,Писаревская,"",Прізвище
3192,Пліній,Плиний,"",Прізвище
3193,Подерв'янський,Подервянский,"",Прізвище
3194,Полонська-Василенко,Полонская-Василенко,"",Прізвище
3195,Полторацька,Полторацкая,"",Прізвище
3196,Полянська,Полянская,"",Прізвище
3197,Політковський,Политковский,"",Прізвище
3198,Пономарьов,Пономарев,"",Прізвище
3199,Пономарьова,Пономарева,"",Прізвище
3200,Потоцька,Потоцкая,"",Прізвище
3201,Потєхін,Потехин,"",Прізвище
3202,Преображенська,Преображенская,"",Прізвище
3203,Прокопович,Прокопович,"",Прізвище
3204,Прокоф'єв,Прокофьев,"",Прізвище
3205,Прокоф'єва,Прокофьева,"",Прізвище
3206,Пєрацький,Перацкий,"",Прізвище
3207,Пєчкін,Печкин,"",Прізвище
3208,Пєшковський,Пешковский,"",Прізвище
3209,Підгайний,Подгайный,"",Прізвище
3210,Підгорецький,Подгорецкий,"",Прізвище
3211,Підгорна,Подгорная,"",Прізвище
3212,Підгорний,Подгорный,"",Прізвище
5371,Хаві,Хави,"",Прізвище
3213,Підгорський,Подгорский,"",Прізвище
3214,Піддубний,Поддубный,"",Прізвище
3215,Підлуцький,Подлуцкий,"",Прізвище
3216,Підмогильний,Подмогильный,"",Прізвище
3217,Підоплічко,Пидопличко,"",Прізвище
3218,Підсуха,Пидсуха,"",Прізвище
3219,Пілсудський,Пилсудский,"",Прізвище
3220,Піонтковський,Пионтковский,"",Прізвище
3221,Піпін,Пипин,"",Прізвище
3222,Радецька,Радецкая,"",Прізвище
3223,Радзивіл,Радзивил,"",Прізвище
3224,Разорьонов,Разоренов,"",Прізвище
3225,Разорьонова,Разоренова,"",Прізвище
3226,Разумовська,Разумовская,"",Прізвище
3227,Раковська,Раковская,"",Прізвище
3228,Раневська,Раневская,"",Прізвище
3229,Раєвський,Раевский,"",Прізвище
3230,Редкліфф,Рэдклифф,"",Прізвище
3231,Рибалкін,Рыбалкин,"",Прізвище
3232,Рибкін,Рыбкин,"",Прізвище
3233,Рибкіна,Рыбкина,"",Прізвище
3234,Рибчинський,Рыбчинский,"",Прізвище
3235,Рильський,Рыльский,"",Прізвище
3236,Робесп'єр,Робеспьер,"",Прізвище
3237,Розумовський,Разумовский,"",Прізвище
3238,Романовська,Романовская,"",Прізвище
3239,Рубльов,Рублев,"",Прізвище
3240,Рубльова,Рублева,"",Прізвище
3241,Рудковська,Рудковская,"",Прізвище
3242,Савицька,Савицкая,"",Прізвище
3243,Садирін,Садырин,"",Прізвище
3244,Садовська,Садовская,"",Прізвище
3245,Саріуш-Вольський,Сариуш-Вольский,"",Прізвище
3246,Сафіуллін,Сафиуллин,"",Прізвище
3247,Сафіулліна,Сафиуллина,"",Прізвище
3248,Світлицький,Светлицкий,"",Прізвище
3249,Селезньов,Селезнев,"",Прізвище
3250,Селезньова,Селезнева,"",Прізвище
3251,Селінджер,Сэлинджер,"",Прізвище
3252,Сербенська,Сербенская,"",Прізвище
3253,Сергєєв,Сергеев,"",Прізвище
3254,Сергєєва,Сергеева,"",Прізвище
3255,Сергієнко,Сергиенко,"",Прізвище
3256,Сироїд,Сыроед,"",Прізвище
3257,Склодовська,Склодовская,"",Прізвище
3258,Скліфосовський,Склифосовский,"",Прізвище
3259,Скоропадська,Скоропадская,"",Прізвище
3260,Скуратівський,Скуратовский,"",Прізвище
3261,Скіпальський,Скипальский,"",Прізвище
3262,Слабошпицька,Слабошпицкая,"",Прізвище
3263,Славинська,Славинская,"",Прізвище
3264,Сливинська,Сливинская,"",Прізвище
3265,Слободян,Слободян,"",Прізвище
3266,Слуцька,Слуцкая,"",Прізвище
3267,Смолинська,Смолинская,"",Прізвище
3268,Собєський,Собеский,"",Прізвище
3269,Солженіцин,Солженицын,"",Прізвище
3270,Соловйов,Соловьев,"",Прізвище
3271,Соловйова,Соловьева,"",Прізвище
3272,Сомаре,Сомаре,"",Прізвище
3273,Спірін,Спирин,"",Прізвище
3274,Ставицька,Ставицкая,"",Прізвище
3275,Станишевська,Станишевская,"",Прізвище
3276,Станіславський,Станиславский,"",Прізвище
3277,Стаховська,Стаховская,"",Прізвище
3278,Степанковська,Степанковская,"",Прізвище
3279,Столипін,Столыпин,"",Прізвище
3280,Столипіна,Столыпина,"",Прізвище
3281,Столєтова,Столетова,"",Прізвище
3282,Стоцька,Стоцкая,"",Прізвище
3283,Стравінський,Стравинский,"",Прізвище
3284,Стігліц,Стиглиц,"",Прізвище
3285,Сєдих,Седых,"",Прізвище
3286,Сєраковський,Сераковский,"",Прізвище
3287,Сібеліус,Сибелиус,"",Прізвище
3288,Сікорський,Сикорский,"",Прізвище
3289,Сілкін,Силкин,"",Прізвище
3290,Сісмонді,Сисмонди,"",Прізвище
3291,Тализіна,Талызина,"",Прізвище
3292,Тарнавська,Тарнавская,"",Прізвище
3293,Тарновська,Тарновская,"",Прізвище
3294,Тедєєв,Тедеев,"",Прізвище
3295,Тедєєва,Тедеева,"",Прізвище
3296,Теплицька,Теплицкая,"",Прізвище
3297,Тертична,Тертычная,Тертышная,Прізвище
3298,Тертичний,Тертычный,Тертышный,Прізвище
3299,Тимків,Тымкив,"",Прізвище
3300,Тимофєєв,Тимофеев,"",Прізвище
3301,Тимофєєва,Тимофеева,"",Прізвище
3302,Тимірязєва,Тимирязева,"",Прізвище
3303,Тодосієнко,Тодосиенко,"",Прізвище
3304,Томашевська,Томашевская,"",Прізвище
3305,Томашівський,Томашевский,"",Прізвище
3306,Торічеллі,Торичелли,"",Прізвище
3307,Тоцька,Тоцкая,"",Прізвище
3308,Тропінін,Тропинин,"",Прізвище
3309,Трояновська,Трояновская,"",Прізвище
3310,Трублаїні,Трублаини,"",Прізвище
3311,Трухільйо,Трухильо,"",Прізвище
3312,Туган-Барановська,Туган-Барановская,"",Прізвище
3313,Тумановська,Тумановская,"",Прізвище
3314,Турчинська,Турчинская,"",Прізвище
3315,Тьєррі,Тьерри,"",Прізвище
3316,Тігіпко,Тигипко,"",Прізвище
3317,Урицька,Урицкая,"",Прізвище
3318,Утьосов,Утесов,"",Прізвище
3319,Утьосова,Утесова,"",Прізвище
3320,Уфуе-Буаньї,Уфуэ-Буаньи,"",Прізвище
3321,Фадєєв,Фадеев,"",Прізвище
3322,Фадєєва,Фадеева,"",Прізвище
3323,Федоровська,Федоровская,"",Прізвище
3324,Федосєєв,Федосеев,"",Прізвище
3325,Федосєєва,Федосеева,"",Прізвище
3326,Фонвізін,Фонвизин,"",Прізвище
3327,Фонвізіна,Фонвизина,"",Прізвище
3328,Фібоначчі,Фибоначчи,"",Прізвище
3329,Філик,Филык,Филик,Прізвище
3330,Філідор,Филидор,"",Прізвище
3331,Філімонов,Филимонов,"",Прізвище
3332,Філімонова,Филимонова,"",Прізвище
3333,Філіпенко,Филипенко,"",Прізвище
3334,Філіппенко,Филиппенко,"",Прізвище
3335,Філіппов,Филиппов,"",Прізвище
3336,Філіппова,Филиппова,"",Прізвище
3337,Філіпчук,Филипчук,"",Прізвище
3338,Фінагін,Финагин,"",Прізвище
3339,Фірдоусі,Фирдоуси,"",Прізвище
3340,Харірі,Харири,"",Прізвище
3341,Хаєцький,Хаецкий,"",Прізвище
3342,Хемінгуей,Хемингуэй,"",Прізвище
3343,Хилинська,Хилинская,"",Прізвище
3344,Хмелевська,Хмелевская,"",Прізвище
3345,Хованська,Хованская,"",Прізвище
3346,Хоружинська,Хоружинская,"",Прізвище
3347,Хостікоєв,Хостикоев,"",Прізвище
3348,Хостікоєва,Хостикоева,"",Прізвище
3349,Храповицька,Храповицкая,"",Прізвище
3350,Хрустальов,Хрусталев,"",Прізвище
3351,Хрустальова,Хрусталева,"",Прізвище
3352,Хідекелі,Хидекели,"",Прізвище
3353,Царьов,Царев,"",Прізвище
3354,Царьова,Царева,"",Прізвище
3355,Цвєтаєв,Цветаев,"",Прізвище
3356,Цвєтаєва,Цветаева,"",Прізвище
3357,Цвінглі,Цвингли,"",Прізвище
3358,Цертелєв,Цертелева,"",Прізвище
3359,Цземінь,Цзэминь,"",Прізвище
3360,Цзіньпін,Цзиньпин,"",Прізвище
3361,Цибульська,Цибульская,"",Прізвище
3362,Цибульський,Цыбульский,"",Прізвище
3363,Цимбалар,Цымбаларь,"",Прізвище
3364,Цімошевич,Чимошевич,"",Прізвище
3365,Ціолковський,Циолковский,"",Прізвище
3366,Чайківський,Чайковский,"",Прізвище
3367,Чаплинська,Чаплинская,"",Прізвище
3368,Чеботарьов,Чеботарев,"",Прізвище
3369,Чеботарьова,Чеботарева,"",Прізвище
3370,Чекмарьов,Чекмарев,"",Прізвище
3371,Чекмарьова,Чекмарева,"",Прізвище
3372,Червинська,Червинская,"",Прізвище
3373,Чернишевський,Чернышевский,"",Прізвище
3374,Черномирдін,Черномырдин,"",Прізвище
3375,Чернявська,Чернявская,"",Прізвище
3376,Чехівський,Чеховский,"",Прізвище
3377,Шевельов,Шевелев,"",Прізвище
3378,Шевельова,Шевелева,"",Прізвище
3379,Шептицька,Шептицкая,"",Прізвище
3380,Шидловська,Шидловская,"",Прізвище
3381,Шимановська,Шимановская,"",Прізвище
3382,Шиманська,Шиманская,"",Прізвище
3383,Шингарьова,Шингарева,"",Прізвище
3384,Шлютер,Шлютером,"",Прізвище
3385,Шмельов,Шмелев,"",Прізвище
3386,Шмельова,Шмелева,"",Прізвище
3387,Шрьодер,Шредер,"",Прізвище
3388,Штайнмаєр,Штайнмайер,"",Прізвище
3389,Шуйська,Шуйская,"",Прізвище
3390,Шумська,Шумская,"",Прізвище
3391,Щербаківський,Щербаковский,"",Прізвище
3392,Щирська,Щирская,"",Прізвище
3393,Щоголєв,Щеголев,"",Прізвище
3394,Щоголів,Щеголев,"",Прізвище
3395,Яблонська,Яблонская,"",Прізвище
3396,Явлінський,Явлинский,"",Прізвище
3397,Яворівський,Яворивский,"",Прізвище
3398,Якубовська,Якубовская,"",Прізвище
3399,Яновська,Яновская,"",Прізвище
3400,Ярошинська,Ярошинская,"",Прізвище
3401,Ясенок,Ясень,"",Прізвище
3402,Яшвілі,Яшвили,"",Прізвище
3403,Ґалілей,Галилей,"",Прізвище
3404,Євграфов,Евграфов,"",Прізвище
3405,Євграфова,Евграфова,"",Прізвище
3406,Євдокименко,Евдокименко,"",Прізвище
3407,Євдокимов,Евдокимов,"",Прізвище
3408,Євдокимова,Евдокимова,"",Прізвище
3409,Євтух,Евтух,"",Прізвище
3410,Євтушенко,Евтушенко,"",Прізвище
3411,Євтушок,Евтушок,"",Прізвище
3412,Євченко,Евченко,"",Прізвище
3413,Єгоров,Егоров,"",Прізвище
3414,Єгорова,Егорова,"",Прізвище
3415,Єжель,Ежель,"",Прізвище
3416,Єжов,Ежов,"",Прізвище
3417,Єжова,Ежова,"",Прізвище
3418,Єльцин,Ельцин,"",Прізвище
3419,Єльцов,Ельцов,"",Прізвище
3420,Єльцова,Ельцова,"",Прізвище
3421,Єльченко,Ельченко,"",Прізвище
3422,Ємельянов,Емельянов,"",Прізвище
3423,Ємельянова,Емельянова,"",Прізвище
3424,Єнсен,Енсен,"",Прізвище
3425,Єременко,Еременко,"",Прізвище
3426,Єрмак,Ермак,"",Прізвище
3427,Єрмаков,Ермаков,"",Прізвище
3428,Єрмакова,Ермакова,"",Прізвище
3429,Єрмилов,Ермилов,"",Прізвище
3430,Єрмилова,Ермилова,"",Прізвище
3431,Єрмоленко,Ермоленко,"",Прізвище
3432,Єрмолов,Ермолов,"",Прізвище
3433,Єрмолова,Ермолова,"",Прізвище
3434,Єршов,Ершов,"",Прізвище
3435,Єршова,Ершова,"",Прізвище
3436,Єсаулов,Есаулов,"",Прізвище
3437,Єсаулова,Есаулова,"",Прізвище
3438,Єсипчук,Есипчук,"",Прізвище
3439,Єськов,Еськов,"",Прізвище
3440,Єськова,Еськова,"",Прізвище
3441,Єфименко,Ефименко,"",Прізвище
3442,Єфимов,Ефимов,"",Прізвище
3443,Єфимова,Ефимова,"",Прізвище
3444,Єфимович,Ефимович,"",Прізвище
3445,Єфременко,Ефременко,"",Прізвище
3446,Єфремов,Ефремов,"",Прізвище
3447,Єфремова,Ефремова,"",Прізвище
3448,Єхануров,Ехануров,"",Прізвище
3449,Єханурова,Еханурова,"",Прізвище
3450,Ібарра,Ибарра,"",Прізвище
3451,Ібсен,Ибсен,"",Прізвище
3452,Іваненко,Иваненко,"",Прізвище
3453,Іваник,Иваник,"",Прізвище
3454,Іванина,Иванина,"",Прізвище
3455,Іванишин,Иванишин,"",Прізвище
3456,Іванов,Иванов,"",Прізвище
3457,Іванова,Иванова,"",Прізвище
3458,Іваночко,Иваночко,"",Прізвище
3459,Іванченко,Иванченко,"",Прізвище
3460,Іванчук,Иванчук,"",Прізвище
3461,Іванюк,Иванюк,"",Прізвище
3462,Іванюта,Иванюта,"",Прізвище
3463,Іванющенко,Иванющенко,"",Прізвище
3464,Івасенко,Ивасенко,"",Прізвище
3465,Івасишин,Ивасишин,"",Прізвище
3466,Івасюк,Ивасюк,"",Прізвище
3467,Івах,Ивах,"",Прізвище
3468,Івахненко,Ивахненко,"",Прізвище
3469,Івахно,Ивахно,"",Прізвище
3470,Івашкевич,Ивашкевич,"",Прізвище
3471,Івашко,Ивашко,"",Прізвище
3472,Івашов,Ивашов,"",Прізвище
3473,Івашова,Ивашова,"",Прізвище
3474,Іващенко,Иващенко,"",Прізвище
3475,Іващук,Иващук,"",Прізвище
3476,Івченко,Ивченко,"",Прізвище
3477,Ігнатенко,Игнатенко,"",Прізвище
3478,Ігнатов,Игнатов,"",Прізвище
3479,Ігнатова,Игнатова,"",Прізвище
3480,Ігнащенко,Игнащенко,"",Прізвище
3481,Ідахор,Идахор,"",Прізвище
3482,Іден,Иден,"",Прізвище
3483,Ізетбегович,Изетбегович,"",Прізвище
3484,Ізмайлов,Измайлов,"",Прізвище
3485,Ізмайлова,Измайлова,"",Прізвище
3486,Ізотов,Изотов,"",Прізвище
3487,Ізотова,Изотова,"",Прізвище
3488,Ілащук,Илащук,"",Прізвище
3489,Ільвес,Ильвес,"",Прізвище
3490,Ільченко,Ильченко,"",Прізвище
3491,Ільчишин,Ильчишин,"",Прізвище
3492,Ільчук,Ильчук,"",Прізвище
3493,Ілюмжинов,Илюмжинов,"",Прізвище
3494,Ілюмжинова,Илюмжинова,"",Прізвище
3495,Іненю,Иненю,"",Прізвище
3496,Іпатов,Ипатов,"",Прізвище
3497,Ірчан,Ирчан,"",Прізвище
3498,Ісаакян,Исаакян,"",Прізвище
3499,Ісаков,Исаков,"",Прізвище
3500,Ісакова,Исакова,"",Прізвище
3501,Ісакович,Исакович,"",Прізвище
3502,Ісаченко,Исаченко,"",Прізвище
3503,Ісиченко,Исиченко,"",Прізвище
3504,Іскандер,Искандер,"",Прізвище
3505,Іствуд,Иствуд,"",Прізвище
3506,Іщенко,Ищенко,"",Прізвище
3507,Їжакевич,Ижакевич,"",Прізвище
3508,Абдулін,Абдулин,"",Прізвище
3509,Абдуліна,Абдулина,"",Прізвище
3510,Абрамовіч,Абрамович,"",Прізвище
3511,Абрикосова,Абрикосовая,"",Прізвище
3512,Абромавічус,Абромавичус,"",Прізвище
3513,Авенаріус,Авенариус,"",Прізвище
3514,Аверін,Аверин,"",Прізвище
3515,Авіценна,Авиценна,"",Прізвище
3516,Агассі,Агасси,"",Прізвище
3517,Агеєв,Агеев,"",Прізвище
3518,Агеєва,Агеева,"",Прізвище
3519,Адамець,Адамец,"",Прізвище
3520,Аденауер,Аденауэр,"",Прізвище
3521,Адлінгтон,Адлингтон,"",Прізвище
3522,Адомайтіс,Адомайтис,"",Прізвище
3523,Азімов,Азимов,"",Прізвище
